distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
piss	(v) 小便	(v) 用手槍射擊	(v) 為(案件)辯護;懇求	(v) 保證給予;許諾;發誓
pistol	(v) 用手槍射擊	(v) 為(案件)辯護;懇求	(v) 保證給予;許諾;發誓	(v) 犁;耕;開(路);破(浪)前進
plead	(v) 為(案件)辯護;懇求	(v) 保證給予;許諾;發誓	(v) 犁;耕;開(路);破(浪)前進	(v) 採;拔...的毛;扯
pledge	(v) 保證給予;許諾;發誓	(v) 犁;耕;開(路);破(浪)前進	(v) 採;拔...的毛;扯	(v) 投入;將...插入;急降
plow	(v) 犁;耕;開(路);破(浪)前進	(v) 採;拔...的毛;扯	(v) 投入;將...插入;急降	(v) 戳;捅;撥弄
pluck	(v) 採;拔...的毛;扯	(v) 投入;將...插入;急降	(v) 戳;捅;撥弄	(v) 佈道;說教
plunge	(v) 投入;將...插入;急降	(v) 戳;捅;撥弄	(v) 佈道;說教	(v) 勝過;優勝;流行
poke	(v) 戳;捅;撥弄	(v) 佈道;說教	(v) 勝過;優勝;流行	(v) 試演;試映
preach	(v) 佈道;說教	(v) 勝過;優勝;流行	(v) 試演;試映	(v) 捕食;掠奪
prevail	(v) 勝過;優勝;流行	(v) 試演;試映	(v) 捕食;掠奪	(v) 刺(穿);扎(穿);使內心極度痛苦
preview	(v) 試演;試映	(v) 捕食;掠奪	(v) 刺(穿);扎(穿);使內心極度痛苦	(v) 畫側面像;描出輪廓;寫傳略
prey	(v) 捕食;掠奪	(v) 刺(穿);扎(穿);使內心極度痛苦	(v) 畫側面像;描出輪廓;寫傳略	(v) 延長;拉長;拖延
prick	(v) 刺(穿);扎(穿);使內心極度痛苦	(v) 畫側面像;描出輪廓;寫傳略	(v) 延長;拉長;拖延	(v) 支撐;維持;架;擱
profile	(v) 畫側面像;描出輪廓;寫傳略	(v) 延長;拉長;拖延	(v) 支撐;維持;架;擱	(v) 使成比例;使平衡;分攤
prolong	(v) 延長;拉長;拖延	(v) 支撐;維持;架;擱	(v) 使成比例;使平衡;分攤	(v) 勘探;找礦
prop	(v) 支撐;維持;架;擱	(v) 使成比例;使平衡;分攤	(v) 勘探;找礦	(v) 修剪;修整;修枝
proportion	(v) 使成比例;使平衡;分攤	(v) 勘探;找礦	(v) 修剪;修整;修枝	(v) 宣傳;公佈;廣告
prospect	(v) 勘探;找礦	(v) 修剪;修整;修枝	(v) 宣傳;公佈;廣告	(v) 一陣陣地吹;喘氣;用粉撲施粉
prune	(v) 修剪;修整;修枝	(v) 宣傳;公佈;廣告	(v) 一陣陣地吹;喘氣;用粉撲施粉	(v) 搏動;跳動;振動
publicize	(v) 宣傳;公佈;廣告	(v) 一陣陣地吹;喘氣;用粉撲施粉	(v) 搏動;跳動;振動	(v) 買,購買
puff	(v) 一陣陣地吹;喘氣;用粉撲施粉	(v) 搏動;跳動;振動	(v) 買,購買	(v) (鴨)呱呱叫
pulse	(v) 搏動;跳動;振動	(v) 買,購買	(v) (鴨)呱呱叫	(v) 使具有資格
purchase	(v) 買,購買	(v) (鴨)呱呱叫	(v) 使具有資格	(v) 顫抖;抖動(翅膀等)
quack	(v) (鴨)呱呱叫	(v) 使具有資格	(v) 顫抖;抖動(翅膀等)	(v) 把...放在架子上
qualify	(v) 使具有資格	(v) 顫抖;抖動(翅膀等)	(v) 把...放在架子上	(v) 召集;團結;重新振作 (n)  集會
quiver	(v) 顫抖;抖動(翅膀等)	(v) 把...放在架子上	(v) 召集;團結;重新振作 (n)  集會	(v) 經營牧場(或農場)
rack	(v) 把...放在架子上	(v) 召集;團結;重新振作 (n)  集會	(v) 經營牧場(或農場)	(v) 使發出咯咯聲;使驚惶失措
rally	(v) 召集;團結;重新振作 (n)  集會	(v) 經營牧場(或農場)	(v) 使發出咯咯聲;使驚惶失措	(v) 收割;收穫
ranch	(v) 經營牧場(或農場)	(v) 使發出咯咯聲;使驚惶失措	(v) 收割;收穫	(v) 認為;把...看作;覺得;測量
rattle	(v) 使發出咯咯聲;使驚惶失措	(v) 收割;收穫	(v) 認為;把...看作;覺得;測量	(v) 推薦,介紹
reap	(v) 收割;收穫	(v) 認為;把...看作;覺得;測量	(v) 推薦,介紹	(v) 捲;繞
reckon	(v) 認為;把...看作;覺得;測量	(v) 推薦,介紹	(v) 捲;繞	(v) 為...擔任裁判;仲裁
recommend	(v) 推薦,介紹	(v) 捲;繞	(v) 為...擔任裁判;仲裁	(v) 駁斥;反駁
reel	(v) 捲;繞	(v) 為...擔任裁判;仲裁	(v) 駁斥;反駁	(v) 君臨;統治
referee	(v) 為...擔任裁判;仲裁	(v) 駁斥;反駁	(v) 君臨;統治	(v) 欣喜;慶祝
refute	(v) 駁斥;反駁	(v) 君臨;統治	(v) 欣喜;慶祝	(v) 償還;報答
reign	(v) 君臨;統治	(v) 欣喜;慶祝	(v) 償還;報答	(v) 繁殖;複製
rejoice	(v) 欣喜;慶祝	(v) 償還;報答	(v) 繁殖;複製	(v) 憤慨;怨恨
repay	(v) 償還;報答	(v) 繁殖;複製	(v) 憤慨;怨恨	(v) 居住;駐在
reproduce	(v) 繁殖;複製	(v) 憤慨;怨恨	(v) 居住;駐在	(v) 訴諸;憑藉
resent	(v) 憤慨;怨恨	(v) 居住;駐在	(v) 訴諸;憑藉	(v) 抑制;約束
reside	(v) 居住;駐在	(v) 訴諸;憑藉	(v) 抑制;約束	(v) 重新開始;繼續;恢復
resort	(v) 訴諸;憑藉	(v) 抑制;約束	(v) 重新開始;繼續;恢復	(v) 反駁;回嘴
restrain	(v) 抑制;約束	(v) 重新開始;繼續;恢復	(v) 反駁;回嘴	(v) 翻轉;倒退;反向
resume	(v) 重新開始;繼續;恢復	(v) 反駁;回嘴	(v) 翻轉;倒退;反向	(v) 復甦;恢復生機;使甦醒
retort	(v) 反駁;回嘴	(v) 翻轉;倒退;反向	(v) 復甦;恢復生機;使甦醒	(v) 反叛;起義;使反感
reverse	(v) 翻轉;倒退;反向	(v) 復甦;恢復生機;使甦醒	(v) 反叛;起義;使反感	(v) 旋轉;自轉;以...為中心
revive	(v) 復甦;恢復生機;使甦醒	(v) 反叛;起義;使反感	(v) 旋轉;自轉;以...為中心	(v) 裝肋於;嘲弄
revolt	(v) 反叛;起義;使反感	(v) 旋轉;自轉;以...為中心	(v) 裝肋於;嘲弄	(v) 使成脊狀
revolve	(v) 旋轉;自轉;以...為中心	(v) 裝肋於;嘲弄	(v) 使成脊狀	(v) 洗劫,劫掠
rib	(v) 裝肋於;嘲弄	(v) 使成脊狀	(v) 洗劫,劫掠	(v) 形成邊緣;顯出邊緣
ridge	(v) 使成脊狀	(v) 洗劫,劫掠	(v) 形成邊緣;顯出邊緣	(v) 撕;扯
rifle	(v) 洗劫,劫掠	(v) 形成邊緣;顯出邊緣	(v) 撕;扯	(v) 起漣漪;(頭髮等)呈波狀
rim	(v) 形成邊緣;顯出邊緣	(v) 撕;扯	(v) 起漣漪;(頭髮等)呈波狀	(v) 與...競爭;比得上
rip	(v) 撕;扯	(v) 起漣漪;(頭髮等)呈波狀	(v) 與...競爭;比得上	(v) 漫步;漫遊;流浪
ripple	(v) 起漣漪;(頭髮等)呈波狀	(v) 與...競爭;比得上	(v) 漫步;漫遊;流浪	(v) (雷等)隆隆響;(車輛)轆轆行駛
rival	(v) 與...競爭;比得上	(v) 漫步;漫遊;流浪	(v) (雷等)隆隆響;(車輛)轆轆行駛	(v) (樹葉;紙等)沙沙作響;使沙沙作響
roam	(v) 漫步;漫遊;流浪	(v) (雷等)隆隆響;(車輛)轆轆行駛	(v) (樹葉;紙等)沙沙作響;使沙沙作響	(v) 給(馬背)裝鞍;使負擔
rumble	(v) (雷等)隆隆響;(車輛)轆轆行駛	(v) (樹葉;紙等)沙沙作響;使沙沙作響	(v) 給(馬背)裝鞍;使負擔	(v) 使成為聖徒
rustle	(v) (樹葉;紙等)沙沙作響;使沙沙作響	(v) 給(馬背)裝鞍;使負擔	(v) 使成為聖徒	(v) 向...行禮;向...致敬
saddle	(v) 給(馬背)裝鞍;使負擔	(v) 使成為聖徒	(v) 向...行禮;向...致敬	(v) 兇猛地攻擊;激烈抨擊
saint	(v) 使成為聖徒	(v) 向...行禮;向...致敬	(v) 兇猛地攻擊;激烈抨擊	(v) 細看;審視
salute	(v) 向...行禮;向...致敬	(v) 兇猛地攻擊;激烈抨擊	(v) 細看;審視	(v) 結疤;留下傷痕
savage	(v) 兇猛地攻擊;激烈抨擊	(v) 細看;審視	(v) 結疤;留下傷痕	(v) 嗅;聞
scan	(v) 細看;審視	(v) 結疤;留下傷痕	(v) 嗅;聞	(v) 策劃,密謀
scar	(v) 結疤;留下傷痕	(v) 嗅;聞	(v) 策劃,密謀	(v) 輕蔑;藐視
scent	(v) 嗅;聞	(v) 策劃,密謀	(v) 輕蔑;藐視	(v) 攀爬;雜亂蔓延;爭奪
scheme	(v) 策劃,密謀	(v) 輕蔑;藐視	(v) 攀爬;雜亂蔓延;爭奪	(v) 將...作為廢物;將...拆毀
scorn	(v) 輕蔑;藐視	(v) 攀爬;雜亂蔓延;爭奪	(v) 將...作為廢物;將...拆毀	(v) 刮;擦;勉強過日子
scramble	(v) 攀爬;雜亂蔓延;爭奪	(v) 將...作為廢物;將...拆毀	(v) 刮;擦;勉強過日子	(v) 使成卷形;用渦卷飾裝飾
scrap	(v) 將...作為廢物;將...拆毀	(v) 刮;擦;勉強過日子	(v) 使成卷形;用渦卷飾裝飾	(v) 把...弄牢;關緊
scrape	(v) 刮;擦;勉強過日子	(v) 使成卷形;用渦卷飾裝飾	(v) 把...弄牢;關緊	(v) 分割;切成片
scroll	(v) 使成卷形;用渦卷飾裝飾	(v) 把...弄牢;關緊	(v) 分割;切成片	(v) 削尖,磨快
secure	(v) 把...弄牢;關緊	(v) 分割;切成片	(v) 削尖,磨快	(v) 粉碎;砸碎
segment	(v) 分割;切成片	(v) 削尖,磨快	(v) 粉碎;砸碎	(v) 保護;庇護;掩蓋
sharpen	(v) 削尖,磨快	(v) 粉碎;砸碎	(v) 保護;庇護;掩蓋	(v) 發抖;打顫
shatter	(v) 粉碎;砸碎	(v) 保護;庇護;掩蓋	(v) 發抖;打顫	(v) 推;撞;亂塞
shield	(v) 保護;庇護;掩蓋	(v) 發抖;打顫	(v) 推;撞;亂塞	(v) 切成條狀;用碎紙機撕毀(文件)
shiver	(v) 發抖;打顫	(v) 推;撞;亂塞	(v) 切成條狀;用碎紙機撕毀(文件)	(v) 尖叫;發出尖聲
shove	(v) 推;撞;亂塞	(v) 切成條狀;用碎紙機撕毀(文件)	(v) 尖叫;發出尖聲	(v) 發抖;戰慄
shred	(v) 切成條狀;用碎紙機撕毀(文件)	(v) 尖叫;發出尖聲	(v) 發抖;戰慄	(v) 為...裝遮板(或快門等);關(店)
shriek	(v) 尖叫;發出尖聲	(v) 發抖;戰慄	(v) 為...裝遮板(或快門等);關(店)	(v) 煨;燉;(危機等)即將爆發
shudder	(v) 發抖;戰慄	(v) 為...裝遮板(或快門等);關(店)	(v) 煨;燉;(危機等)即將爆發	(v) 猛地關上;砰地放下;打成滿貫
shutter	(v) 為...裝遮板(或快門等);關(店)	(v) 煨;燉;(危機等)即將爆發	(v) 猛地關上;砰地放下;打成滿貫	(v) 摑...耳光;侮辱
simmer	(v) 煨;燉;(危機等)即將爆發	(v) 猛地關上;砰地放下;打成滿貫	(v) 摑...耳光;侮辱	(v) 屠宰;屠殺
slam	(v) 猛地關上;砰地放下;打成滿貫	(v) 摑...耳光;侮辱	(v) 屠宰;屠殺	(v) 殺死;殺害
slap	(v) 摑...耳光;侮辱	(v) 屠宰;屠殺	(v) 殺死;殺害	(v) (沈重地)倒下;(經濟)衰落
slaughter	(v) 屠宰;屠殺	(v) 殺死;殺害	(v) (沈重地)倒下;(經濟)衰落	(v) 粉碎;瓦解;殺球
slay	(v) 殺死;殺害	(v) (沈重地)倒下;(經濟)衰落	(v) 粉碎;瓦解;殺球	(v) 吠;咆哮;纏結
slump	(v) (沈重地)倒下;(經濟)衰落	(v) 粉碎;瓦解;殺球	(v) 吠;咆哮;纏結	(v) 奪走;抓住
smash	(v) 粉碎;瓦解;殺球	(v) 吠;咆哮;纏結	(v) 奪走;抓住	(v) 偷偷地走,溜
snarl	(v) 吠;咆哮;纏結	(v) 奪走;抓住	(v) 偷偷地走,溜	(v) 嗅;用力吸;抽鼻涕
snatch	(v) 奪走;抓住	(v) 偷偷地走,溜	(v) 嗅;用力吸;抽鼻涕	(v) 打鼾
sneak	(v) 偷偷地走,溜	(v) 嗅;用力吸;抽鼻涕	(v) 打鼾	(v) 噴鼻息;輕蔑(或憤怒)地哼
sniff	(v) 嗅;用力吸;抽鼻涕	(v) 打鼾	(v) 噴鼻息;輕蔑(或憤怒)地哼	(v) 浸泡;使濕透
snore	(v) 打鼾	(v) 噴鼻息;輕蔑(或憤怒)地哼	(v) 浸泡;使濕透	(v) 使醒酒;使清醒;變得嚴肅
snort	(v) 噴鼻息;輕蔑(或憤怒)地哼	(v) 浸泡;使濕透	(v) 使醒酒;使清醒;變得嚴肅	(v) 使變柔軟;使變和藹
soak	(v) 浸泡;使濕透	(v) 使醒酒;使清醒;變得嚴肅	(v) 使變柔軟;使變和藹	(v) 給(鞋等)裝底(或換底)
sober	(v) 使醒酒;使清醒;變得嚴肅	(v) 使變柔軟;使變和藹	(v) 給(鞋等)裝底(或換底)	(v) 單獨地; 單獨表演;單飛
soften	(v) 使變柔軟;使變和藹	(v) 給(鞋等)裝底(或換底)	(v) 單獨地; 單獨表演;單飛	(v) 播(種)
sole	(v) 給(鞋等)裝底(或換底)	(v) 單獨地; 單獨表演;單飛	(v) 播(種)	(v) (用海綿)揩拭;海綿般地吸收
solo	(v) 單獨地; 單獨表演;單飛	(v) 播(種)	(v) (用海綿)揩拭;海綿般地吸收	(v) 聚光照明;使公眾注意
sow	(v) 播(種)	(v) (用海綿)揩拭;海綿般地吸收	(v) 聚光照明;使公眾注意	(v) 奮力而跑;衝刺
sponge	(v) (用海綿)揩拭;海綿般地吸收	(v) 聚光照明;使公眾注意	(v) 奮力而跑;衝刺	(v) 用靴刺踢;鞭策;鼓勵
spotlight	(v) 聚光照明;使公眾注意	(v) 奮力而跑;衝刺	(v) 用靴刺踢;鞭策;鼓勵	(v) 把...壓扁(壓碎);鎮壓
sprint	(v) 奮力而跑;衝刺	(v) 用靴刺踢;鞭策;鼓勵	(v) 把...壓扁(壓碎);鎮壓	(v) 蹲坐;蜷伏
spur	(v) 用靴刺踢;鞭策;鼓勵	(v) 把...壓扁(壓碎);鎮壓	(v) 蹲坐;蜷伏	(v) 把...疊成堆;堆放
squash	(v) 把...壓扁(壓碎);鎮壓	(v) 蹲坐;蜷伏	(v) 把...疊成堆;堆放	(v) 搖搖晃晃;蹣跚而行
squat	(v) 蹲坐;蜷伏	(v) 把...疊成堆;堆放	(v) 搖搖晃晃;蹣跚而行	(v) 把...押下打賭,拿...冒險
stack	(v) 把...疊成堆;堆放	(v) 搖搖晃晃;蹣跚而行	(v) 把...押下打賭,拿...冒險	(v) 把...關入畜舍;使拋錨;支吾;拖延
stagger	(v) 搖搖晃晃;蹣跚而行	(v) 把...押下打賭,拿...冒險	(v) 把...關入畜舍;使拋錨;支吾;拖延	(v) 使驚嚇;使驚奇
stake	(v) 把...押下打賭,拿...冒險	(v) 把...關入畜舍;使拋錨;支吾;拖延	(v) 使驚嚇;使驚奇	(v) 掌(船)舵,駕駛
stall	(v) 把...關入畜舍;使拋錨;支吾;拖延	(v) 使驚嚇;使驚奇	(v) 掌(船)舵,駕駛	(v) 使成為陳規;把...澆鑄成鉛板
startle	(v) 使驚嚇;使驚奇	(v) 掌(船)舵,駕駛	(v) 使成為陳規;把...澆鑄成鉛板	(v) (用文火)燉;使極度不安;悶熱冒汗
steer	(v) 掌(船)舵,駕駛	(v) 使成為陳規;把...澆鑄成鉛板	(v) (用文火)燉;使極度不安;悶熱冒汗	(v) 發惡臭;名聲臭
stereotype	(v) 使成為陳規;把...澆鑄成鉛板	(v) (用文火)燉;使極度不安;悶熱冒汗	(v) 發惡臭;名聲臭	(v) 屈身;彎腰駝背;屈尊
stew	(v) (用文火)燉;使極度不安;悶熱冒汗	(v) 發惡臭;名聲臭	(v) 屈身;彎腰駝背;屈尊	(v) 把...弄直;澄清
stink	(v) 發惡臭;名聲臭	(v) 屈身;彎腰駝背;屈尊	(v) 把...弄直;澄清	(v) 拉緊;伸張;竭力;扭傷;過濾
stoop	(v) 屈身;彎腰駝背;屈尊	(v) 把...弄直;澄清	(v) 拉緊;伸張;竭力;扭傷;過濾	(v) 使擱淺;處於困境
straighten	(v) 把...弄直;澄清	(v) 拉緊;伸張;竭力;扭傷;過濾	(v) 使擱淺;處於困境	(v) 用帶捆綁(或束住)
strain	(v) 拉緊;伸張;竭力;扭傷;過濾	(v) 使擱淺;處於困境	(v) 用帶捆綁(或束住)	(v) 迷路;流浪;分心;入歧途
strand	(v) 使擱淺;處於困境	(v) 用帶捆綁(或束住)	(v) 迷路;流浪;分心;入歧途	(v) 形成條紋;疾駛;閃現
strap	(v) 用帶捆綁(或束住)	(v) 迷路;流浪;分心;入歧途	(v) 形成條紋;疾駛;閃現	(v) 邁大步走;跨越
stray	(v) 迷路;流浪;分心;入歧途	(v) 形成條紋;疾駛;閃現	(v) 邁大步走;跨越	(v) 散步;溜達
streak	(v) 形成條紋;疾駛;閃現	(v) 邁大步走;跨越	(v) 散步;溜達	(v) 絆腳;絆倒;踉蹌
stride	(v) 邁大步走;跨越	(v) 散步;溜達	(v) 絆腳;絆倒;踉蹌	(v) 砍去...的幹;作巡迴政治演說
stroll	(v) 散步;溜達	(v) 絆腳;絆倒;踉蹌	(v) 砍去...的幹;作巡迴政治演說	(v) 使昏迷;使大吃一驚
stumble	(v) 絆腳;絆倒;踉蹌	(v) 砍去...的幹;作巡迴政治演說	(v) 使昏迷;使大吃一驚	(v) 結結巴巴地說話
stump	(v) 砍去...的幹;作巡迴政治演說	(v) 使昏迷;使大吃一驚	(v) 結結巴巴地說話	(v) 提交;呈遞;使服從
stun	(v) 使昏迷;使大吃一驚	(v) 結結巴巴地說話	(v) 提交;呈遞;使服從	(v) 用...代替;代替
stutter	(v) 結結巴巴地說話	(v) 提交;呈遞;使服從	(v) 用...代替;代替	(v) 召喚
submit	(v) 提交;呈遞;使服從	(v) 用...代替;代替	(v) 召喚	(v) 監督;管理;指導
substitute	(v) 用...代替;代替	(v) 召喚	(v) 監督;管理;指導	(v) 鎮壓;壓制;抑制
summon	(v) 召喚	(v) 監督;管理;指導	(v) 鎮壓;壓制;抑制	(v) (海浪)洶湧;激增
supervise	(v) 監督;管理;指導	(v) 鎮壓;壓制;抑制	(v) (海浪)洶湧;激增	(v) 使中止
suppress	(v) 鎮壓;壓制;抑制	(v) (海浪)洶湧;激增	(v) 使中止	(v) 支撐;承受
surge	(v) (海浪)洶湧;激增	(v) 使中止	(v) 支撐;承受	(v) 使陷入沼澤;淹沒;使陷入困境
suspend	(v) 使中止	(v) 支撐;承受	(v) 使陷入沼澤;淹沒;使陷入困境	(v) 成群地移動(或飛行);擠滿
sustain	(v) 支撐;承受	(v) 使陷入沼澤;淹沒;使陷入困境	(v) 成群地移動(或飛行);擠滿	(v) 同情;憐憫
swamp	(v) 使陷入沼澤;淹沒;使陷入困境	(v) 成群地移動(或飛行);擠滿	(v) 同情;憐憫	(v) 著手對付(或處理);擒抱並摔倒
swarm	(v) 成群地移動(或飛行);擠滿	(v) 同情;憐憫	(v) 著手對付(或處理);擒抱並摔倒	(v) 使糾結;使混亂
sympathize	(v) 同情;憐憫	(v) 著手對付(或處理);擒抱並摔倒	(v) 使糾結;使混亂	(v) 塗焦油於;玷污;污辱
tackle	(v) 著手對付(或處理);擒抱並摔倒	(v) 使糾結;使混亂	(v) 塗焦油於;玷污;污辱	(v) 辱罵;嘲笑;奚落
tangle	(v) 使糾結;使混亂	(v) 塗焦油於;玷污;污辱	(v) 辱罵;嘲笑;奚落	(v) 引誘;誘惑
tar	(v) 塗焦油於;玷污;污辱	(v) 辱罵;嘲笑;奚落	(v) 引誘;誘惑	(v) 租,租賃;居住於
taunt	(v) 辱罵;嘲笑;奚落	(v) 引誘;誘惑	(v) 租,租賃;居住於	(v) 使成梯形地
tempt	(v) 引誘;誘惑	(v) 租,租賃;居住於	(v) 使成梯形地	(v) 使興奮;使激動;使毛骨悚然;顫抖
tenant	(v) 租,租賃;居住於	(v) 使成梯形地	(v) 使興奮;使激動;使毛骨悚然;顫抖	(v) 擠滿;湧入
terrace	(v) 使成梯形地	(v) 使興奮;使激動;使毛骨悚然;顫抖	(v) 擠滿;湧入	(v) 用力推;刺;插
thrill	(v) 使興奮;使激動;使毛骨悚然;顫抖	(v) 擠滿;湧入	(v) 用力推;刺;插	(v) 發滴答聲;責備
throng	(v) 擠滿;湧入	(v) 用力推;刺;插	(v) 發滴答聲;責備	(v) 鋪砌瓦(或瓷磚等)
thrust	(v) 用力推;刺;插	(v) 發滴答聲;責備	(v) 鋪砌瓦(或瓷磚等)	(v) 使傾斜;使翹起;偏向
tick	(v) 發滴答聲;責備	(v) 鋪砌瓦(或瓷磚等)	(v) 使傾斜;使翹起;偏向	(v) 把...裝罐
tile	(v) 鋪砌瓦(或瓷磚等)	(v) 使傾斜;使翹起;偏向	(v) 把...裝罐	(v) 踮著腳
tilt	(v) 使傾斜;使翹起;偏向	(v) 把...裝罐	(v) 踮著腳	(v) 苦幹;艱難地行進
tin	(v) 把...裝罐	(v) 踮著腳	(v) 苦幹;艱難地行進	(v) 如火炬般地燃燒
tiptoe	(v) 踮著腳	(v) 苦幹;艱難地行進	(v) 如火炬般地燃燒	(v) 使痛苦;折磨;煩擾
toil	(v) 苦幹;艱難地行進	(v) 如火炬般地燃燒	(v) 使痛苦;折磨;煩擾	(v) 拷打;拷問;折磨
torch	(v) 如火炬般地燃燒	(v) 使痛苦;折磨;煩擾	(v) 拷打;拷問;折磨	(v) 腳步沈重地行走;踐踏;流浪
torment	(v) 使痛苦;折磨;煩擾	(v) 拷打;拷問;折磨	(v) 腳步沈重地行走;踐踏;流浪	(v) 踩;踐踏;蔑視
torture	(v) 拷打;拷問;折磨	(v) 腳步沈重地行走;踐踏;流浪	(v) 踩;踐踏;蔑視	(v) 挖溝;挖戰壕
tramp	(v) 腳步沈重地行走;踐踏;流浪	(v) 踩;踐踏;蔑視	(v) 挖溝;挖戰壕	(v) 戲弄;輕視
trample	(v) 踩;踐踏;蔑視	(v) 挖溝;挖戰壕	(v) 戲弄;輕視	(v) 修剪;修整;整理;削減
trench	(v) 挖溝;挖戰壕	(v) 戲弄;輕視	(v) 修剪;修整;整理;削減	(v) 使成三倍;三倍於
trifle	(v) 戲弄;輕視	(v) 修剪;修整;整理;削減	(v) 使成三倍;三倍於	(v) (馬等)小跑;(人)慢跑
trim	(v) 修剪;修整;整理;削減	(v) 使成三倍;三倍於	(v) (馬等)小跑;(人)慢跑	(v) 把...塞進;使有褶襉
triple	(v) 使成三倍;三倍於	(v) (馬等)小跑;(人)慢跑	(v) 把...塞進;使有褶襉	(v) 仲裁;當裁判
trot	(v) (馬等)小跑;(人)慢跑	(v) 把...塞進;使有褶襉	(v) 仲裁;當裁判	(v) 劃線於...之下;強調
tuck	(v) 把...塞進;使有褶襉	(v) 仲裁;當裁判	(v) 劃線於...之下;強調	(v) 使...合乎時代;更新
umpire	(v) 仲裁;當裁判	(v) 劃線於...之下;強調	(v) 使...合乎時代;更新	(v) 發出(聲音等);說;講
underline	(v) 劃線於...之下;強調	(v) 使...合乎時代;更新	(v) 發出(聲音等);說;講	(v) 吸塵
update	(v) 使...合乎時代;更新	(v) 發出(聲音等);說;講	(v) 吸塵	(v) 用帷幕分隔;掩飾;戴面紗
utter	(v) 發出(聲音等);說;講	(v) 吸塵	(v) 用帷幕分隔;掩飾;戴面紗	(v) 冒險;大膽行事
vacuum	(v) 吸塵	(v) 用帷幕分隔;掩飾;戴面紗	(v) 冒險;大膽行事	(v) 否決;反對
veil	(v) 用帷幕分隔;掩飾;戴面紗	(v) 冒險;大膽行事	(v) 否決;反對	(v) 顫動;振動;震動
venture	(v) 冒險;大膽行事	(v) 否決;反對	(v) 顫動;振動;震動	(v) 將(節目)錄到帶子上
veto	(v) 否決;反對	(v) 顫動;振動;震動	(v) 將(節目)錄到帶子上	(v) 發誓要;鄭重宣告
vibrate	(v) 顫動;振動;震動	(v) 將(節目)錄到帶子上	(v) 發誓要;鄭重宣告	(v) 涉水而行;艱難地前進
videotape	(v) 將(節目)錄到帶子上	(v) 發誓要;鄭重宣告	(v) 涉水而行;艱難地前進	(v) 慟哭;(警笛等)尖嘯;哀訴
vow	(v) 發誓要;鄭重宣告	(v) 涉水而行;艱難地前進	(v) 慟哭;(警笛等)尖嘯;哀訴	(v) 避開;擋開
wade	(v) 涉水而行;艱難地前進	(v) 慟哭;(警笛等)尖嘯;哀訴	(v) 避開;擋開	(v) 把...存入倉庫
wail	(v) 慟哭;(警笛等)尖嘯;哀訴	(v) 避開;擋開	(v) 把...存入倉庫	(v) 使疲倦;使厭煩
ward	(v) 避開;擋開	(v) 把...存入倉庫	(v) 使疲倦;使厭煩	(v) 靠碼頭
warehouse	(v) 把...存入倉庫	(v) 使疲倦;使厭煩	(v) 靠碼頭	(v) 發哀鳴聲;發牢騷
weary	(v) 使疲倦;使厭煩	(v) 靠碼頭	(v) 發哀鳴聲;發牢騷	(v) 旋轉;迴旋
wharf	(v) 靠碼頭	(v) 發哀鳴聲;發牢騷	(v) 旋轉;迴旋	(v) 撢;打(蛋等); 迅速移動
whine	(v) 發哀鳴聲;發牢騷	(v) 旋轉;迴旋	(v) 撢;打(蛋等); 迅速移動	(v) 以批發方式
whirl	(v) 旋轉;迴旋	(v) 撢;打(蛋等); 迅速移動	(v) 以批發方式	(v) 使成寡婦(或鰥夫)
whisk	(v) 撢;打(蛋等); 迅速移動	(v) 以批發方式	(v) 使成寡婦(或鰥夫)	(v) 枯萎;凋謝
wholesale	(v) 以批發方式	(v) 使成寡婦(或鰥夫)	(v) 枯萎;凋謝	(v) 崇拜;拜神;做禮拜
widow	(v) 使成寡婦(或鰥夫)	(v) 枯萎;凋謝	(v) 崇拜;拜神;做禮拜	(v) 絞;擰;緊握
wither	(v) 枯萎;凋謝	(v) 崇拜;拜神;做禮拜	(v) 絞;擰;緊握	(v) 駕快艇;乘遊艇
worship	(v) 崇拜;拜神;做禮拜	(v) 絞;擰;緊握	(v) 駕快艇;乘遊艇	(v) 講故事;長談
wring	(v) 絞;擰;緊握	(v) 駕快艇;乘遊艇	(v) 講故事;長談	(v) 出產;使屈服;讓路
yacht	(v) 駕快艇;乘遊艇	(v) 講故事;長談	(v) 出產;使屈服;讓路	(v) 以尖嘯聲行進;拉開拉鍊
