唱える (となえる)	to recite	proof	unmarried woman 	to propose
点検 (てんけん)	inspection	hit 	like-mindedness	conception
当たり (あたり)	hit 	like-mindedness	conception	agricultural land
同志 (どうし)	like-mindedness	conception	agricultural land	exclusion
妊娠 (にんしん)	conception	agricultural land	exclusion	echo
農地 (のうち)	agricultural land	exclusion	echo	counterattack
排除 (はいじょ)	exclusion	echo	counterattack	material quality
反響 (はんきょう)	echo	counterattack	material quality	poverty
反撃 (はんげき)	counterattack	material quality	poverty	indispensable
品質 (ひんしつ)	material quality	poverty	indispensable	debt
貧困 (ひんこん)	poverty	indispensable	debt	taking on one's share 
不可欠 (ふかけつ)	indispensable	debt	taking on one's share 	radioactivity
負債 (ふさい)	debt	taking on one's share 	radioactivity	disturbance
分担 (ぶんたん)	taking on one's share 	radioactivity	disturbance	insurrection
放射能 (ほうしゃのう)	radioactivity	disturbance	insurrection	invalid
妨害 (ぼうがい)	disturbance	insurrection	invalid	aspect
暴動 (ぼうどう)	insurrection	invalid	aspect	blank form 
無効 (むこう)	invalid	aspect	blank form 	training
様相 (ようそう)	aspect	blank form 	training	comprehension
用紙 (ようし)	blank form 	training	comprehension	consecutive holidays
養成 (ようせい)	training	comprehension	consecutive holidays	solidarity 
了解 (りょうかい)	comprehension	consecutive holidays	solidarity 	tree trunk
連休 (れんきゅう)	consecutive holidays	solidarity 	tree trunk	price
連帯 (れんたい)	solidarity 	tree trunk	price	essential
幹 (みき)	tree trunk	price	essential	individual
値 (あたい)	price	essential	individual	counter for suits of clothing 
肝心 (かんじん)	essential	individual	counter for suits of clothing 	salary
個々 (ここ)	individual	counter for suits of clothing 	salary	report
着 (ちゃく)	counter for suits of clothing 	salary	report	along
手当 (てあて)	salary	report	along	hold
届 (とどけ)	report	along	hold	entrusting 
沿い (ぞい)	along	hold	entrusting 	clothing
持ち (もち)	hold	entrusting 	clothing	whole area
委託 (いたく)	entrusting 	clothing	whole area	uniform
衣料 (いりょう)	clothing	whole area	uniform	low rank
一帯 (いったい)	whole area	uniform	low rank	fossil 
一律 (いちりつ)	uniform	low rank	fossil 	improvement
下位 (かい)	low rank	fossil 	improvement	storey
化石 (かせき)	fossil 	improvement	storey	arts and sciences
改良 (かいりょう)	improvement	storey	arts and sciences	publication
階 (かい)	storey	arts and sciences	publication	customary practice
学芸 (がくげい)	arts and sciences	publication	customary practice	loose
刊行 (かんこう)	publication	customary practice	loose	union
慣行 (かんこう)	customary practice	loose	union	one's speech
緩やか (ゆるやか)	loose	union	one's speech	the deceased
結束 (けっそく)	union	one's speech	the deceased	skillful
言論 (げんろん)	one's speech	the deceased	skillful	restriction
故人 (こじん)	the deceased	skillful	restriction	subtraction
巧み (たくみ)	skillful	restriction	subtraction	Imperial Palace 
拘束 (こうそく)	restriction	subtraction	Imperial Palace 	line 
控除 (こうじょ)	subtraction	Imperial Palace 	line 	to rise
皇居 (こうきょ)	Imperial Palace 	line 	to rise	return
行 (ぎょう)	line 	to rise	return	profit
高まる (たかまる)	to rise	return	profit	adoption
再発 (さいはつ)	return	profit	adoption	reference
採算 (さいさん)	profit	adoption	reference	mountains
採択 (さいたく)	adoption	reference	mountains	thought
参照 (さんしょう)	reference	mountains	thought	very much
山岳 (さんがく)	mountains	thought	very much	breeding
思考 (しこう)	thought	very much	breeding	continuation
至って (いたって)	very much	breeding	continuation	some
飼育 (しいく)	breeding	continuation	some	to accept
持続 (じぞく)	continuation	some	to accept	accommodation
若干 (じゃっかん)	some	to accept	accommodation	attack
受け入れる (うけいれる)	to accept	accommodation	attack	totalization
収容 (しゅうよう)	accommodation	attack	totalization	encouragement
襲撃 (しゅうげき)	attack	totalization	encouragement	illumination
集計 (しゅうけい)	totalization	encouragement	illumination	rise
奨励 (しょうれい)	encouragement	illumination	rise	landing
照明 (しょうめい)	illumination	rise	landing	passion
上がり (あがり)	rise	landing	passion	uniform
上陸 (じょうりく)	landing	passion	uniform	regular
情熱 (じょうねつ)	passion	uniform	regular	settlement 
制服 (せいふく)	uniform	regular	settlement 	vessel
正規 (せいき)	regular	settlement 	vessel	obstruction
清算 (せいさん)	settlement 	vessel	obstruction	carbon 
船舶 (せんぱく)	vessel	obstruction	carbon 	hell
阻止 (そし)	obstruction	carbon 	hell	landing
炭素 (たんそ)	carbon 	hell	landing	cooking
地獄 (じごく)	hell	landing	cooking	tradition
着陸 (ちゃくりく)	landing	cooking	tradition	engineering works
調理 (ちょうり)	cooking	tradition	engineering works	regulation
伝説 (でんせつ)	tradition	engineering works	regulation	patent
土木 (どぼく)	engineering works	regulation	patent	itemization 
統制 (とうせい)	regulation	patent	itemization 	outline of the sun 
特許 (とっきょ)	patent	itemization 	outline of the sun 	normally
内訳 (うちわけ)	itemization 	outline of the sun 	normally	back
日の丸 (ひのまる)	outline of the sun 	normally	back	arrangement 
日ごろ (ひごろ)	normally	back	arrangement 	excavation
背後 (はいご)	back	arrangement 	excavation	pessimism
配置 (はいち)	arrangement 	excavation	pessimism	fatigue
発掘 (はっくつ)	excavation	pessimism	fatigue	kind 
悲観 (ひかん)	pessimism	fatigue	kind 	sensitive
疲労 (ひろう)	fatigue	kind 	sensitive	cultural assets
品種 (ひんしゅ)	kind 	sensitive	cultural assets	ear 
敏感 (びんかん)	sensitive	cultural assets	ear 	close 
文化財 (ぶんかざい)	cultural assets	ear 	close 	organic
穂 (ほ)	ear 	close 	organic	guidance
密接 (みっせつ)	close 	organic	guidance	articles
有機 (ゆうき)	organic	guidance	articles	solid body
誘導 (ゆうどう)	guidance	articles	solid body	passenger 
用品 (ようひん)	articles	solid body	passenger 	area
立体 (りったい)	solid body	passenger 	area	cemetery
旅客 (りょかく)	passenger 	area	cemetery	text 
領域 (りょういき)	area	cemetery	text 	transport
墓地 (ぼち)	cemetery	text 	transport	control
本文 (ほんぶん)	text 	transport	control	one layer
運送 (うんそう)	transport	control	one layer	different opinion
取り締まり (とりしまり)	control	one layer	different opinion	lumping together
一重 (ひとえ)	one layer	different opinion	lumping together	garden 
異論 (いろん)	different opinion	lumping together	garden 	gold
一括 (いっかつ)	lumping together	garden 	gold	what
園 (その)	garden 	gold	what	household economy
黄金 (おうごん)	gold	what	household economy	depopulation
何と (なんと)	what	household economy	depopulation	channel 
家計 (かけい)	household economy	depopulation	channel 	academic background
過疎 (かそ)	depopulation	channel 	academic background	interference
海峡 (かいきょう)	channel 	academic background	interference	cheer
学歴 (がくれき)	academic background	interference	cheer	restoration
干渉 (かんしょう)	interference	cheer	restoration	fixed date
歓声 (かんせい)	cheer	restoration	fixed date	abstention 
還元 (かんげん)	restoration	fixed date	abstention 	standard
期日 (きじつ)	fixed date	abstention 	standard	mention 
棄権 (きけん)	abstention 	standard	mention 	technical skill
規格 (きかく)	standard	mention 	technical skill	resolution
記載 (きさい)	mention 	technical skill	resolution	to reach
技能 (ぎのう)	technical skill	resolution	to reach	palace
議決 (ぎけつ)	resolution	to reach	palace	to strengthen
及ぶ (およぶ)	to reach	palace	to strengthen	teaching materials
宮殿 (きゅうでん)	palace	to strengthen	teaching materials	threat
強める (つよめる)	to strengthen	teaching materials	threat	surprise
教材 (きょうざい)	teaching materials	threat	surprise	equilibrium
脅迫 (きょうはく)	threat	surprise	equilibrium	ward
驚き (おどろき)	surprise	equilibrium	ward	personal history
均衡 (きんこう)	equilibrium	ward	personal history	to harden
区 (く)	ward	personal history	to harden	characteristic
経歴 (けいれき)	personal history	to harden	characteristic	solitude
固める (かためる)	to harden	characteristic	solitude	public appeal 
固有 (こゆう)	characteristic	solitude	public appeal 	flood
孤独 (こどく)	solitude	public appeal 	flood	voyage
公募 (こうぼ)	public appeal 	flood	voyage	action
洪水 (こうずい)	flood	voyage	action	errand
航海 (こうかい)	voyage	action	errand	self-consciousness
作用 (さよう)	action	errand	self-consciousness	slope
使い (つかい)	errand	self-consciousness	slope	easy
自覚 (じかく)	self-consciousness	slope	easy	process
斜面 (しゃめん)	slope	easy	process	tree
手軽 (てがる)	easy	process	tree	beginning and end 
手順 (てじゅん)	process	tree	beginning and end 	bleeding
樹木 (じゅもく)	tree	beginning and end 	bleeding	details
終始 (しゅうし)	beginning and end 	bleeding	details	height
出血 (しゅっけつ)	bleeding	details	height	gentleman
詳細 (しょうさい)	details	height	gentleman	friendship
丈 (たけ)	height	gentleman	friendship	personality
紳士 (しんし)	gentleman	friendship	personality	indeed
親善 (しんぜん)	friendship	personality	indeed	despair
人柄 (ひとがら)	personality	indeed	despair	precedent
誠に (まことに)	indeed	despair	precedent	duration
絶望 (ぜつぼう)	despair	precedent	duration	starting 
前例 (ぜんれい)	precedent	duration	starting 	harmony
存続 (そんぞく)	duration	starting 	harmony	silence
着工 (ちゃっこう)	starting 	harmony	silence	tsunami
調和 (ちょうわ)	harmony	silence	tsunami	fall
沈黙 (ちんもく)	silence	tsunami	fall	feeling keenly
津波 (つなみ)	tsunami	fall	feeling keenly	definition
墜落 (ついらく)	fall	feeling keenly	definition	walking
痛感 (つうかん)	feeling keenly	definition	walking	characteristic 
定義 (ていぎ)	definition	walking	characteristic 	blood relationship
徒歩 (とほ)	walking	characteristic 	blood relationship	milk 
特有 (とくゆう)	characteristic 	blood relationship	milk 	zeal
肉親 (にくしん)	blood relationship	milk 	zeal	stickiness
乳 (ちち)	milk 	zeal	stickiness	drainage
熱意 (ねつい)	zeal	stickiness	drainage	insurrection
粘り (ねばり)	stickiness	drainage	insurrection	door
排水 (はいすい)	drainage	insurrection	door	beauty
反乱 (はんらん)	insurrection	door	beauty	seedling
扉 (とびら)	door	beauty	seedling	frequent
美 (び)	beauty	seedling	frequent	moving to a different location to start a new job
苗 (なえ)	seedling	frequent	moving to a different location to start a new job	subordinate person
頻繁 (ひんぱん)	frequent	moving to a different location to start a new job	subordinate person	natural features
赴任 (ふにん)	moving to a different location to start a new job	subordinate person	natural features	numerator 
部下 (ぶか)	subordinate person	natural features	numerator 	supply
風土 (ふうど)	natural features	numerator 	supply	abandonment
分子 (ぶんし)	numerator 	supply	abandonment	plan
補給 (ほきゅう)	supply	abandonment	plan	seriousness
放棄 (ほうき)	abandonment	plan	seriousness	cannabis 
方策 (ほうさく)	plan	seriousness	cannabis 	style
本気 (ほんき)	seriousness	cannabis 	style	interest 
麻 (あさ)	cannabis 	style	interest 	love
様式 (ようしき)	style	interest 	love	coexistence
利子 (りし)	interest 	love	coexistence	device
恋愛 (れんあい)	love	coexistence	device	showy
共存 (きょうぞん)	coexistence	device	showy	outside the area
仕掛け (しかけ)	device	showy	outside the area	complete change
華やか (はなやか)	showy	outside the area	complete change	overwork
域外 (いきがい)	outside the area	complete change	overwork	simplicity
一変 (いっぺん)	complete change	overwork	simplicity	simple
過労 (かろう)	overwork	simplicity	simple	comedy
簡易 (かんい)	simplicity	simple	comedy	carefree
簡素 (かんそ)	simple	comedy	carefree	agreement
喜劇 (きげき)	comedy	carefree	agreement	to write down
気軽 (きがる)	carefree	agreement	to write down	sympathy
規約 (きやく)	agreement	to write down	sympathy	labor
記す (しるす)	to write down	sympathy	labor	abatement
共感 (きょうかん)	sympathy	labor	abatement	tuberculosis
勤労 (きんろう)	labor	abatement	tuberculosis	blood vessel
軽減 (けいげん)	abatement	tuberculosis	blood vessel	first year 
結核 (けっかく)	tuberculosis	blood vessel	first year 	family register 
血管 (けっかん)	blood vessel	first year 	family register 	kindness
